timestamp,step_index,sim_time,controller_name,target_distance,desired_altitude,current_y,repetition,pose_x,pose_y,pose_z,pose_forward_x,pose_forward_y,pose_forward_z,pose_right_x,pose_right_y,pose_right_z,dvl_vx,dvl_vy,dvl_vz,ping_altitude_raw,ping_altitude,estimated_seabed_z_from_pose_ping,altitude_error,abs_altitude_error,desired_forward_velocity,desired_lateral_velocity,vertical_command,horizontal_command_x,horizontal_command_y,forward_progress,lateral_drift,target_reached,collision,invalid_ping,unsafe_altitude
2026-05-15T13:36:39.850678+00:00,0,0.0,dvl_p_altitude_hold,20.0,3.0,0.0,1,-413.1700134277344,459.44000244140625,-293.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.015543118119239807,-0.004570286720991135,0.015735186636447906,12.347439765930176,12.347439765930176,-305.3474397659302,-9.347439765930176,9.347439765930176,0.15,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2026-05-15T13:36:39.884184+00:00,1,0.033421399999999934,dvl_p_altitude_hold,20.0,3.0,0.0,1,-413.16949462890625,459.44000244140625,-293.00030517578125,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.011207224801182747,-0.09645424783229828,-0.02715880237519741,12.347439765930176,12.347439765930176,-305.3477449417114,-9.347439765930176,9.347439765930176,0.15,0.0,-0.8,1.9725782796740532,0.027421720325946808,0.000518798828125,0.0,False,False,False,False
2026-05-15T13:36:39.917602+00:00,2,0.06674260000000132,dvl_p_altitude_hold,20.0,3.0,0.0,1,-413.1686096191406,459.4401550292969,-293.0008850097656,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.03415435552597046,0.04261847957968712,-0.026892347261309624,12.347987174987793,12.347987174987793,-305.3488721847534,-9.347987174987793,9.347987174987793,0.15,0.0,-0.8,1.4212745130062103,0.5787254869937897,0.00140380859375,0.000152587890625,False,False,False,False
2026-05-15T13:36:39.951000+00:00,3,0.10003140000000066,dvl_p_altitude_hold,20.0,3.0,0.0,1,-413.16729736328125,459.44024658203125,-293.0017395019531,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.10077400505542755,-0.0009326977306045592,-0.020477743819355965,12.348730087280273,12.348730087280273,-305.3504695892334,-9.348730087280273,9.348730087280273,0.15,0.0,-0.8,1.7442891225218773,-0.2557108774781227,0.002716064453125,0.000244140625,False,False,False,False
2026-05-15T13:36:39.984309+00:00,4,0.1334414000000006,dvl_p_altitude_hold,20.0,3.0,0.0,1,-413.165771484375,459.4403381347656,-293.00286865234375,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.04025058448314667,-0.0084696589037776,-0.04129837453365326,12.349946022033691,12.349946022033691,-305.35281467437744,-9.349946022033691,9.349946022033691,0.15,0.0,-0.8,0.9845198988914489,0.011192372767254738,0.004241943359375,0.000335693359375,False,False,False,False
2026-05-15T13:36:40.017126+00:00,5,0.16679159999999982,dvl_p_altitude_hold,20.0,3.0,0.0,1,-413.1637878417969,459.4404296875,-293.0042724609375,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.07893721759319305,0.012233599089086056,-0.03152173385024071,12.35124397277832,12.35124397277832,-305.3555164337158,-9.35124397277832,9.35124397277832,0.15,0.0,-0.8,1.9491820465773344,0.050817953422665596,0.0062255859375,0.00042724609375,False,False,False,False
2026-05-15T13:36:40.050760+00:00,6,0.20003050000000044,dvl_p_altitude_hold,20.0,3.0,0.0,1,-413.1614685058594,459.44049072265625,-293.00592041015625,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.13607372343540192,-0.0034257315564900637,-0.0501856654882431,12.35303020477295,12.35303020477295,-305.3589506149292,-9.35303020477295,9.35303020477295,0.15,0.0,-0.8,1.421255648136139,-0.14680318906903267,0.008544921875,0.00048828125,False,False,False,False
2026-05-15T13:36:40.084368+00:00,7,0.23343950000000113,dvl_p_altitude_hold,20.0,3.0,0.0,1,-413.1591796875,459.4405517578125,-293.0078125,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.12609514594078064,-0.02884344756603241,-0.0657479465007782,12.355094909667969,12.355094909667969,-305.36290740966797,-9.355094909667969,9.355094909667969,0.15,0.0,-0.8,0.27852553129196156,0.041108778677880764,0.010833740234375,0.00054931640625,False,False,False,False
2026-05-15T13:36:40.117089+00:00,8,0.26677660000000003,dvl_p_altitude_hold,20.0,3.0,0.0,1,-413.1568298339844,459.4407043457031,-293.00994873046875,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.1543947458267212,-0.01668035425245762,-0.0524679571390152,12.356904029846191,12.356904029846191,-305.36685276031494,-9.356904029846191,9.356904029846191,0.15,0.0,-0.8,0.4780970811843871,0.3461213707923889,0.01318359375,0.000701904296875,False,False,False,False
2026-05-15T13:36:40.150477+00:00,9,0.3000936999999997,dvl_p_altitude_hold,20.0,3.0,0.0,1,-413.15460205078125,459.44091796875,-293.0122985839844,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.1090279147028923,0.0478680394589901,-0.06699912250041962,12.358501434326172,12.358501434326172,-305.37080001831055,-9.358501434326172,9.358501434326172,0.15,0.0,-0.8,-0.08789491653442394,0.20016425102949142,0.015411376953125,0.00091552734375,False,False,False,False
2026-05-15T13:36:40.183659+00:00,10,0.33346230000000077,dvl_p_altitude_hold,20.0,3.0,0.0,1,-413.1522216796875,459.4409484863281,-293.014892578125,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.054626964032649994,-0.007439346518367529,-0.07897713780403137,12.359672546386719,12.359672546386719,-305.3745651245117,-9.359672546386719,9.359672546386719,0.15,0.0,-0.8,0.8194417059421539,-0.5744164735078812,0.017791748046875,0.000946044921875,False,False,False,False
2026-05-15T13:36:40.217747+00:00,11,0.3668192000000001,dvl_p_altitude_hold,20.0,3.0,0.0,1,-413.1494140625,459.4410095214844,-293.0176696777344,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.13607671856880188,0.05230797454714775,-0.09467616677284241,12.360957145690918,12.360957145690918,-305.3786268234253,-9.360957145690918,9.360957145690918,0.15,0.0,-0.8,1.9074607193470001,0.08927215822041035,0.020599365234375,0.001007080078125,False,False,False,False
2026-05-15T13:36:40.251059+00:00,12,0.40021850000000114,dvl_p_altitude_hold,20.0,3.0,0.0,1,-413.1466369628906,459.44091796875,-293.0206604003906,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.060232456773519516,-0.003509465605020523,-0.10990684479475021,12.36270523071289,12.36270523071289,-305.3833656311035,-9.36270523071289,9.36270523071289,0.15,0.0,-0.8,0.2784656286239623,-0.627695694565773,0.02337646484375,0.00091552734375,False,False,False,False
2026-05-15T13:36:40.283630+00:00,13,0.4335142000000012,dvl_p_altitude_hold,20.0,3.0,0.0,1,-413.1434631347656,459.4408264160156,-293.0238342285156,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.09745433926582336,-0.033938929438591,-0.08665044605731964,12.364322662353516,12.364322662353516,-305.38815689086914,-9.364322662353516,9.364322662353516,0.15,0.0,-0.8,1.7953508645296097,0.04211358726024628,0.02655029296875,0.000823974609375,False,False,False,False
2026-05-15T13:36:40.317652+00:00,14,0.46681550000000094,dvl_p_altitude_hold,20.0,3.0,0.0,1,-413.14013671875,459.44085693359375,-293.0272216796875,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.1001986712217331,-0.003137727500870824,-0.10213024914264679,12.366351127624512,12.366351127624512,-305.393572807312,-9.366351127624512,9.366351127624512,0.15,0.0,-0.8,1.0509132146835327,0.40726715326309204,0.029876708984375,0.0008544921875,False,False,False,False
2026-05-15T13:36:40.350771+00:00,15,0.5002253999999997,dvl_p_altitude_hold,20.0,3.0,0.0,1,-413.13665771484375,459.4408874511719,-293.0307922363281,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.10343066602945328,0.01785208284854889,-0.10441276431083679,12.368396759033203,12.368396759033203,-305.3991889953613,-9.368396759033203,9.368396759033203,0.15,0.0,-0.8,0.9960265755653381,0.037652730010449914,0.033355712890625,0.000885009765625,False,False,False,False
2026-05-15T13:36:40.383546+00:00,16,0.5334333999999998,dvl_p_altitude_hold,20.0,3.0,0.0,1,-413.133056640625,459.44085693359375,-293.0345153808594,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.07485615462064743,0.011482163332402706,-0.11044405400753021,12.37049674987793,12.37049674987793,-305.4050121307373,-9.37049674987793,9.37049674987793,0.15,0.0,-0.8,0.9313866794109344,-0.21422499418258673,0.036956787109375,0.0008544921875,False,False,False,False
2026-05-15T13:36:40.417752+00:00,17,0.5668067000000008,dvl_p_altitude_hold,20.0,3.0,0.0,1,-413.129150390625,459.4407958984375,-293.0384216308594,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.08316802233457565,0.05092402175068855,-0.1264844387769699,12.372663497924805,12.372663497924805,-305.4110851287842,-9.372663497924805,9.372663497924805,0.15,0.0,-0.8,1.5028769075870514,-0.13778595998883247,0.040863037109375,0.00079345703125,False,False,False,False
