time,current_x,current_y,current_z,current_magnitude,desired_forward_velocity,desired_lateral_velocity,dvl_forward_velocity_raw,dvl_forward_velocity_used,dvl_lateral_velocity_raw,dvl_lateral_velocity_used,forward_velocity_error,lateral_velocity_error,dvl_distance_estimated,pose_x,pose_y,pose_z,pose_forward_x,pose_forward_y,pose_forward_z,pose_right_x,pose_right_y,pose_right_z,pose_forward_displacement,pose_lateral_drift,pose_ground_truth_displacement,pose_euclidean_displacement,gt_velocity_x,gt_velocity_y,gt_velocity_z,depth_m,cmd_0,cmd_1,cmd_2,cmd_3,cmd_4,cmd_5,cmd_6,cmd_7
0.0,0.0,0.5,0.0,0.5,0.5,0.0,-0.013899718411266804,-0.013899718411266804,0.06119399145245552,0.06119399145245552,0.5138997184112668,-0.06119399145245552,0.0,0.0,0.002058895770460367,-4.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.010610214434564114,0.0,-3.93999981880188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.033323800000061965,0.0,0.5,0.0,0.5,0.5,0.0,0.07105489075183868,0.07105489075183868,0.004786300007253885,0.004786300007253885,0.4289451092481613,-0.004786300007253885,0.0023678189684405247,0.00043134423322044313,0.002343930769711733,-4.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.00043134423322044313,0.00028503499925136566,0.0005170133444416672,0.0005170133444416672,0.01294032670557499,0.008551044389605522,-3.7719620841414246e-25,-3.93999981880188,0.0,0.0,0.0,0.0,1.2656721025705338,2.0,1.2656721025705338,2.0
0.06664109999996981,0.0,0.5,0.0,0.5,0.5,0.0,-0.006215477362275124,-0.006215477362275124,-0.007405899930745363,-0.007405899930745363,0.5062154773622751,0.007405899930745363,0.0021607360445189683,0.001367995166219771,0.0026523738633841276,-4.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.001367995166219771,0.0005934780929237604,0.0014911830945866715,0.0014911830945866715,0.028099525719881058,0.009253297001123428,-3.6776628841264692e-25,-3.93999981880188,0.0,0.0,0.0,0.0,1.9425643999129534,2.0,1.9425643999129534,2.0
0.0999538000000939,0.0,0.5,0.0,0.5,0.5,0.0,0.0693509504199028,0.0693509504199028,0.05833589285612106,0.05833589285612106,0.4306490495800972,-0.05833589285612106,0.00447100345058067,0.002787708304822445,0.0030027066823095083,-4.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.002787708304822445,0.0009438109118491411,0.0029431440043092586,0.0029431440043092586,0.042591392993927,0.010509979911148548,1.8624063036967317e-26,-3.93999981880188,0.0,0.0,0.0,0.0,2.0,1.9111292008310556,2.0,1.9111292008310556
0.13335120000010647,0.0,0.5,0.0,0.5,0.5,0.0,0.003973711747676134,0.003973711747676134,0.07745926082134247,0.07745926082134247,0.49602628825232387,-0.07745926082134247,0.004603715091302559,0.004592464305460453,0.0032892099115997553,-4.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.004592464305460453,0.001230314141139388,0.004754408615465851,0.004754408615465851,0.05414268374443054,0.008595100603997707,-3.5903773971160273e-25,-3.93999981880188,0.0,0.0,0.0,0.0,1.2999692857265472,2.0,1.2999692857265472,2.0
0.16668619999995826,0.0,0.5,0.0,0.5,0.5,0.0,0.0016765354666858912,0.0016765354666858912,0.01774401031434536,0.01774401031434536,0.4983234645333141,-0.01774401031434536,0.004659602401084284,0.006738139316439629,0.0034841089509427547,-4.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.006738139316439629,0.0014252131804823875,0.006887216713416983,0.006887216713416983,0.06437023729085922,0.005846967920660973,-3.500618091610619e-25,-3.93999981880188,0.0,0.0,0.0,0.0,1.0704888701438904,2.0,1.0704888701438904,2.0
0.20006340000009004,0.0,0.5,0.0,0.5,0.5,0.0,0.09143438935279846,0.09143438935279846,-0.02048143744468689,-0.02048143744468689,0.40856561064720154,0.02048143744468689,0.007711426301402558,0.009307128377258778,0.0036856611259281635,-4.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.009307128377258778,0.0016267653554677963,0.009448227566719902,0.009448227566719902,0.07706965506076813,0.006046566646546125,-3.4131026023424985e-25,-3.93999981880188,0.0,0.0,0.0,0.0,1.7870718762278557,2.0,1.7870718762278557,2.0
0.2333470999999463,0.0,0.5,0.0,0.5,0.5,0.0,0.08425496518611908,0.08425496518611908,0.03660909831523895,0.03660909831523895,0.4157450348138809,-0.03660909831523895,0.010515743286155678,0.012279899790883064,0.003954348620027304,-4.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.012279899790883064,0.0018954528495669365,0.012425324155894741,0.012425324155894741,0.08918315172195435,0.008060624822974205,-3.327774969491202e-25,-3.93999981880188,0.0,0.0,0.0,0.0,2.0,1.7542227506637573,2.0,1.7542227506637573
0.2667232999999669,0.0,0.5,0.0,0.5,0.5,0.0,0.05631724372506142,0.05631724372506142,-0.00433011632412672,-0.00433011632412672,0.4436827562749386,0.00433011632412672,0.012395398876173235,0.015616417862474918,0.004197278060019016,-4.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.015616417862474918,0.002138382289558649,0.015762144069628465,0.015762144069628465,0.10009552538394928,0.007287878543138504,-3.2445804658314297e-25,-3.93999981880188,0.0,0.0,0.0,0.0,1.5606908202171326,2.0,1.5606908202171326,2.0
0.30010730000003605,0.0,0.5,0.0,0.5,0.5,0.0,0.10260006040334702,0.10260006040334702,0.04124400019645691,0.04124400019645691,0.397399939596653,-0.04124400019645691,0.015820599292685665,0.01935475692152977,0.004480494186282158,-4.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.01935475692152977,0.0024215984158217907,0.01950565954739842,0.01950565954739842,0.112150177359581,0.008496491238474846,-3.163466089771112e-25,-3.93999981880188,0.0,0.0,0.0,0.0,2.0,1.9480386041104794,2.0,1.9480386041104794
