time,current_x,current_y,current_z,current_magnitude,desired_forward_velocity,desired_lateral_velocity,dvl_forward_velocity_raw,dvl_forward_velocity_used,dvl_lateral_velocity_raw,dvl_lateral_velocity_used,forward_velocity_error,lateral_velocity_error,surge_velocity_error,sway_velocity_error,body_command_surge,body_command_sway,body_command_heave,body_command_yaw,body_command_saturated,surge_saturated,sway_saturated,surge_integral,sway_integral,raw_surge_command,raw_sway_command,dvl_distance_estimated,pose_x,pose_y,pose_z,pose_forward_x,pose_forward_y,pose_forward_z,pose_right_x,pose_right_y,pose_right_z,pose_forward_displacement,pose_lateral_drift,pose_ground_truth_displacement,pose_euclidean_displacement,gt_velocity_x,gt_velocity_y,gt_velocity_z,depth_m,cmd_0,cmd_1,cmd_2,cmd_3,cmd_4,cmd_5,cmd_6,cmd_7
0.0,0.0,2.0,0.0,2.0,0.5,0.0,-0.0117547158151865,-0.0117547158151865,0.16762514412403107,0.16762514412403107,0.5117547158151865,-0.16762514412403107,0.5117547158151865,-0.16762514412403107,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.03158901631832123,-4.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.15942801535129547,0.0,-3.93999981880188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03331299999990733,0.0,2.0,0.0,2.0,0.5,0.0,0.01193455420434475,0.01193455420434475,0.1252504289150238,0.1252504289150238,0.48806544579565525,-0.1252504289150238,0.48806544579565525,-0.1252504289150238,1.0,-0.5056691847741603,0.0,0.0,True,True,False,0.0,-0.0055875048041343685,1.023509431630373,-0.5056691847741603,0.0003975758042082307,0.00039475547964684665,0.03716037794947624,-4.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.00039475547964684665,0.005571361631155014,0.005585329203710151,0.005585329203710151,0.011842664331197739,0.16714084148406982,-3.7719620841414246e-25,-3.93999981880188,0.0,0.0,0.0,0.0,0.9886616304516793,2.0,0.9886616304516793,2.0
0.06666480000012598,0.0,2.0,0.0,2.0,0.5,0.0,0.06288621574640274,0.06288621574640274,0.15639932453632355,0.15639932453632355,0.43711378425359726,-0.15639932453632355,0.43711378425359726,-0.15639932453632355,0.9793826764304596,-0.3806312729163559,0.0,0.0,False,False,False,0.016258924195745435,-0.009759972342568951,0.9793826764304596,-0.3806312729163559,0.0024949442945528554,0.001195054384879768,0.04300311207771301,-4.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.001195054384879768,0.011414095759391785,0.011476486264854147,0.011476486264854147,0.024008965119719505,0.17528201639652252,-7.840821337686026e-25,-3.93999981880188,0.0,0.0,0.0,0.0,1.1975028070282074,2.0,1.1975028070282074,2.0
0.10000160000026881,0.0,2.0,0.0,2.0,0.5,0.0,0.03799830749630928,0.03799830749630928,0.13733649253845215,0.13733649253845215,0.4620016925036907,-0.13733649253845215,0.4620016925036907,-0.13733649253845215,0.8803950596482966,-0.47668605927630747,0.0,0.0,False,False,False,0.030837455705510133,-0.014976171334673702,0.8803950596482966,-0.47668605927630747,0.0037616862719012456,0.0023321490734815598,0.049051690846681595,-4.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.0023321490734815598,0.017462674528360367,0.017617716111471057,0.017617716111471057,0.0341128371655941,0.18145744502544403,-7.644800742614118e-25,-3.93999981880188,0.0,0.0,0.0,0.0,0.8074180007439782,2.0,0.8074180007439782,2.0
0.13346080000019356,0.0,2.0,0.0,2.0,0.5,0.0,0.04385633021593094,0.04385633021593094,0.22752979397773743,0.22752979397773743,0.45614366978406906,-0.22752979397773743,0.45614366978406906,-0.22752979397773743,0.9332512077530281,-0.42178674287493106,0.0,0.0,False,False,False,0.04623911372823316,-0.01955453051914919,0.9332512077530281,-0.42178674287493106,0.0052290839958588214,0.0038202223367989063,0.0553240031003952,-4.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.0038202223367989063,0.023734986782073975,0.024040459568148934,0.024040459568148934,0.04464219883084297,0.18816934525966644,-1.1225642537019253e-24,-3.93999981880188,0.0,0.0,0.0,0.0,1.022928929756194,2.0,1.022928929756194,2.0
0.16671240000005128,0.0,2.0,0.0,2.0,0.5,0.0,0.0973852351307869,0.0973852351307869,0.20606984198093414,0.20606984198093414,0.4026147648692131,-0.20606984198093414,0.4026147648692131,-0.20606984198093414,0.9245876027689857,-0.6961731296341083,0.0,0.0,False,False,False,0.06150131600423796,-0.02716749540179198,0.9245876027689857,-0.6961731296341083,0.00846729888031984,0.005569641012698412,0.061733800917863846,-4.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.005569641012698412,0.030144784599542618,0.03065499860647777,0.03065499860647777,0.05248254910111427,0.1922938972711563,-1.0945001325682352e-24,-3.93999981880188,0.0,0.0,0.0,0.0,0.4568289462697548,2.0,0.4568289462697548,2.0
0.20007299999997485,0.0,2.0,0.0,2.0,0.5,0.0,0.10715218633413315,0.10715218633413315,0.1786806434392929,0.1786806434392929,0.39284781366586685,-0.1786806434392929,0.39284781366586685,-0.1786806434392929,0.8202073099623673,-0.6352193496224904,0.0,0.0,False,False,False,0.0748889011197058,-0.03401964735937589,0.8202073099623673,-0.6352193496224904,0.012041960107730133,0.007557873614132404,0.06826259195804596,-4.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.007557873614132404,0.03667357563972473,0.037444259957566395,0.037444259957566395,0.059646978974342346,0.19586364924907684,-1.0671377032097392e-24,-3.93999981880188,0.0,0.0,0.0,0.0,0.36997592067975393,2.0,0.36997592067975393,2.0
0.2333470000003217,0.0,2.0,0.0,2.0,0.5,0.0,0.010202198289334774,0.010202198289334774,0.18518862128257751,0.18518862128257751,0.4897978017106652,-0.18518862128257751,0.4897978017106652,-0.18518862128257751,0.8032945353101851,-0.5560322007343202,0.0,0.0,False,False,False,0.08799453989225729,-0.03998054083288311,0.8032945353101851,-0.5560322007343202,0.012381428053612998,0.009791272692382336,0.07492075860500336,-4.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.009791272692382336,0.04333174228668213,0.04442419285182375,0.04442419285182375,0.06700197607278824,0.19974511861801147,-1.4567750369601222e-24,-3.93999981880188,0.0,0.0,0.0,0.0,0.49452466915172977,2.0,0.49452466915172977,2.0
0.2667185000000245,0.0,2.0,0.0,2.0,0.5,0.0,0.033712975680828094,0.033712975680828094,0.290157288312912,0.290157288312912,0.4662870243191719,-0.290157288312912,0.4662870243191719,-0.290157288312912,0.9971945113997819,-0.5786371173564845,0.0,0.0,False,False,False,0.08799453989225729,-0.04614250701750383,0.9971945113997819,-0.5786371173564845,0.013506480621535732,0.012304732576012611,0.08174698799848557,-4.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.012304732576012611,0.05015797168016434,0.05164521823785193,0.05164521823785193,0.07540378719568253,0.20478671789169312,-1.4203556955487838e-24,-3.93999981880188,0.0,0.0,0.0,0.0,0.8371147880865948,2.0,0.8371147880865948,2.0
0.3000554000000193,0.0,2.0,0.0,2.0,0.5,0.0,0.0677294060587883,0.0677294060587883,0.2311726212501526,0.2311726212501526,0.4322705939412117,-0.2311726212501526,0.4322705939412117,-0.2311726212501526,0.953285096103181,-0.8983846104209119,0.0,0.0,False,False,False,0.10355523732418595,-0.05582549096435194,0.953285096103181,-0.8983846104209119,0.0157643690583766,0.014990373514592648,0.08863665908575058,-4.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.014990373514592648,0.05704764276742935,0.058984276238903156,0.058984276238903156,0.08056921511888504,0.20669013261795044,-1.3848467982296835e-24,-3.93999981880188,0.0,0.0,0.0,0.0,0.10980097136453826,2.0,0.10980097136453826,2.0
