run_id,target_distance,repetition_index,current_x,current_y,current_z,current_magnitude,forward_command,dvl_estimated_distance,pose_forward_displacement,pose_euclidean_displacement,absolute_error,percentage_error,lateral_drift,final_position_error,duration,sample_count,stop_reason,mean_dt,std_dt,dt_source,average_pose_speed,max_dvl_forward_velocity,mean_dvl_forward_velocity
target_5m_current_x_0_y_0_z_0_rep_01,5.0,1,0.0,0.0,0.0,0.0,2.0,5.000209555878183,4.956423759460449,4.956423759460449,0.04378579641773417,0.8834151102225497,0.0,0.04357624053955078,12.0028041,361,target_reached,0.03334112250000001,0.00010796767710434113,wall_clock,0.41293881980965175,0.5574458837509155,0.41556252308262104
target_5m_current_x_0_y_0_z_0_rep_02,5.0,2,0.0,0.0,0.0,0.0,2.0,5.004308786615513,5.015831470489502,5.015831470489502,0.011522683873988804,0.2297262964631523,0.0,0.015831470489501953,12.136705799999998,365,target_reached,0.03334259835164834,8.445015044008744e-05,wall_clock,0.41327783281106667,0.5587725639343262,0.41116005389198457
target_5m_current_x_0_y_0_z_0_rep_03,5.0,3,0.0,0.0,0.0,0.0,2.0,5.00442105166309,4.986127853393555,4.986127853393555,0.018293198269534905,0.3668818531615584,0.0,0.013872146606445312,12.069896999999997,363,target_reached,0.03334225690607734,0.0001760596606544303,wall_clock,0.4131044244531296,0.5382776856422424,0.41352859855765484
target_5m_current_x_0_y_0p25_z_0_rep_01,5.0,1,0.0,0.25,0.0,0.25,2.0,5.0057493684089645,5.022424697875977,5.026050600570827,0.016675329467012112,0.33201751086610104,0.19087900267913938,0.19219172911083277,12.236637700000003,368,target_reached,0.033342337057220714,7.179139656957196e-05,wall_clock,0.41073787782168514,0.5301588773727417,0.40811804578761046
target_5m_current_x_0_y_0p25_z_0_rep_02,5.0,2,0.0,0.25,0.0,0.25,2.0,5.009049810645589,4.992946147918701,4.99654896030523,0.01610366272688779,0.3225282678764835,0.1897110347636044,0.18984212793861735,12.170801699999998,366,target_reached,0.03334466219178082,0.00012175273210849089,wall_clock,0.4105357299762127,0.5505867600440979,0.4105752702812598
target_5m_current_x_0_y_0p25_z_0_rep_03,5.0,3,0.0,0.25,0.0,0.25,2.0,5.003616376967976,4.963467597961426,4.96704731993268,0.04014877900655023,0.8088856875592371,0.18854305194690824,0.1920497301121836,12.103298600000002,364,target_reached,0.033342420385674934,9.076897822552246e-05,wall_clock,0.41038790201645353,0.575061023235321,0.412299035894838
target_5m_current_x_0_y_0p5_z_0_rep_01,5.0,1,0.0,0.5,0.0,0.5,2.0,5.002281347206806,4.993697166442871,5.0182631697020765,0.0085841807639353,0.17190030708349935,0.49593734508380294,0.4959773946054597,12.370163599999984,372,target_reached,0.03334275902964955,0.00010007550811305366,wall_clock,0.40567476162579474,0.5386507511138916,0.4031836768907685
target_5m_current_x_0_y_0p5_z_0_rep_02,5.0,2,0.0,0.5,0.0,0.5,2.0,5.003792615212021,4.979223251342773,5.003717140292959,0.02456936386924724,0.49343768353068906,0.49449068075045943,0.494926971010692,12.336769500000003,371,target_reached,0.033342620270270275,8.91607348738779e-05,wall_clock,0.40559379343943797,0.5258249044418335,0.4043990555708861
target_5m_current_x_0_y_0p5_z_0_rep_03,5.0,3,0.0,0.5,0.0,0.5,2.0,5.0115731868930276,5.008171558380127,5.032809676576088,0.0034016285129006008,0.0679215652508686,0.49738403921946883,0.49745116025257585,12.403318100000007,373,target_reached,0.03334225295698927,0.00012349610401136824,wall_clock,0.4057631704677545,0.528971254825592,0.40286830550274405
target_5m_current_x_0_y_1_z_0_rep_01,5.0,1,0.0,1.0,0.0,1.0,2.0,5.008683854990514,5.006592273712158,5.2453107982715785,0.0020915812783561805,0.041776545083136336,1.5643909918144345,1.5644048815261495,12.903578600000003,388,target_reached,0.033342580361757114,8.371085788532143e-05,wall_clock,0.40650047253337745,0.5221205949783325,0.38709382240338847
target_5m_current_x_0_y_1_z_0_rep_02,5.0,2,0.0,1.0,0.0,1.0,2.0,5.007570495292241,4.992758750915527,5.2308419236343235,0.014811744376713953,0.29666453188826536,1.5601497637107968,1.5601665683173571,12.870192099999997,387,target_reached,0.03334246658031087,0.0001345675722429488,wall_clock,0.4064307574425657,0.5238685011863708,0.3881996363384567
target_5m_current_x_0_y_1_z_0_rep_03,5.0,3,0.0,1.0,0.0,1.0,2.0,5.012093056382097,4.965092182159424,5.2019047040875845,0.04700087422267352,0.9466264169587248,1.5516675459221005,1.5520601563129905,12.803770299999996,385,target_reached,0.03334315182291666,0.0001663686518850808,wall_clock,0.4062791335836122,0.5214377641677856,0.39044057131297405
target_5m_current_x_0_y_2_z_0_rep_01,5.0,1,0.0,2.0,0.0,2.0,2.0,5.012057992938803,5.012511730194092,7.357130812661097,0.00045373725528907727,0.009052093635130664,5.385359779000282,5.385374313143555,13.937139299999984,419,target_reached,0.03334243851674638,0.00010645292521412839,wall_clock,0.5278795493319857,0.5104205012321472,0.3587610528955507
