time,current_x,current_y,current_z,current_magnitude,desired_forward_velocity,desired_lateral_velocity,dvl_forward_velocity_raw,dvl_forward_velocity_used,dvl_lateral_velocity_raw,dvl_lateral_velocity_used,forward_velocity_error,lateral_velocity_error,dvl_distance_estimated,pose_x,pose_y,pose_z,pose_forward_x,pose_forward_y,pose_forward_z,pose_right_x,pose_right_y,pose_right_z,pose_forward_displacement,pose_lateral_drift,pose_ground_truth_displacement,pose_euclidean_displacement,gt_velocity_x,gt_velocity_y,gt_velocity_z,depth_m,cmd_0,cmd_1,cmd_2,cmd_3,cmd_4,cmd_5,cmd_6,cmd_7
0.0,0.0,1.0,0.0,1.0,0.5,0.0,-0.06167985871434212,-0.06167985871434212,0.031908031553030014,0.031908031553030014,0.5616798587143421,-0.031908031553030014,0.0,0.0,0.008119369857013226,-4.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.04154511168599129,0.0,-3.93999981880188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03334950000001413,0.0,1.0,0.0,1.0,0.5,0.0,0.04228665307164192,0.04228665307164192,0.03143353760242462,0.03143353760242462,0.4577133469283581,-0.03143353760242462,0.00141023873661332,0.00047776283463463187,0.009561445564031601,-4.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.00047776283463463187,0.0014420757070183754,0.0015191575530308454,0.0015191575530308454,0.014332884922623634,0.04326225817203522,-3.7719620841414246e-25,-3.93999981880188,0.0,0.0,0.0,0.0,1.6171036213636398,2.0,1.6171036213636398,2.0
0.06673549999999295,0.0,1.0,0.0,1.0,0.5,0.0,0.039097756147384644,0.039097756147384644,0.08170738816261292,0.08170738816261292,0.46090224385261536,-0.08170738816261292,0.0027155564233490755,0.0014158164849504828,0.011059069074690342,-4.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.0014158164849504828,0.0029396992176771164,0.0032628772286846758,0.0032628772286846758,0.028141608461737633,0.04492870345711708,-3.6776628841264692e-25,-3.93999981880188,0.0,0.0,0.0,0.0,1.6227975487709045,2.0,1.6227975487709045,2.0
0.10007849999999507,0.0,1.0,0.0,1.0,0.5,0.0,0.07574266940355301,0.07574266940355301,0.08463502675294876,0.08463502675294876,0.424257330596447,-0.08463502675294876,0.005241044249271904,0.0027169249951839447,0.012530219741165638,-4.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.0027169249951839447,0.004410849884152412,0.005180470840568705,0.005180470840568705,0.039033252745866776,0.04413451999425888,4.740595514977121e-25,-3.93999981880188,0.0,0.0,0.0,0.0,1.019511342048645,2.0,1.019511342048645,2.0
0.13337740000000053,0.0,1.0,0.0,1.0,0.5,0.0,0.0778799057006836,0.0778799057006836,0.01028500311076641,0.01028500311076641,0.4221200942993164,-0.01028500311076641,0.007834359441208822,0.004362594336271286,0.01397145539522171,-4.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.004362594336271286,0.005852085538208485,0.007299255749004497,0.007299255749004497,0.04937007650732994,0.04323706403374672,4.622080503843177e-25,-3.93999981880188,0.0,0.0,0.0,0.0,0.9843796789646149,2.0,0.9843796789646149,2.0
0.16703330000001415,0.0,1.0,0.0,1.0,0.5,0.0,-0.007910305634140968,-0.007910305634140968,0.07841721177101135,0.07841721177101135,0.507910305634141,-0.07841721177101135,0.007568130985816629,0.0064575159922242165,0.015501982532441616,-4.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.0064575159922242165,0.0073826126754283905,0.00980828643062729,0.00980828643062729,0.06284764409065247,0.04591582342982292,4.506528651484469e-25,-3.93999981880188,0.0,0.0,0.0,0.0,1.876579962670803,2.0,1.876579962670803,2.0
0.20006779999999935,0.0,1.0,0.0,1.0,0.5,0.0,0.0780760645866394,0.0780760645866394,0.028384804725646973,0.028384804725646973,0.4219239354133606,-0.028384804725646973,0.010147334741402813,0.008876579813659191,0.017010103911161423,-4.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.008876579813659191,0.008890734054148197,0.012563392106029815,0.012563392106029815,0.07257191091775894,0.04524363577365875,4.393865016115001e-25,-3.93999981880188,0.0,0.0,0.0,0.0,1.0589934587478638,2.0,1.0589934587478638,2.0
0.2334327000000087,0.0,1.0,0.0,1.0,0.5,0.0,0.11657293140888214,0.11657293140888214,0.07717396318912506,0.07717396318912506,0.38342706859111786,-0.07717396318912506,0.014036778940568116,0.011686708778142929,0.01857619360089302,-4.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.011686708778142929,0.010456823743879795,0.015681974520948924,0.015681974520948924,0.0843038558959961,0.046982668340206146,4.284018600253304e-25,-3.93999981880188,0.0,0.0,0.0,0.0,1.6593823432922363,2.0,1.6593823432922363,2.0
0.2667562000000032,0.0,1.0,0.0,1.0,0.5,0.0,0.07561810314655304,0.07561810314655304,0.11638735979795456,0.11638735979795456,0.42438189685344696,-0.11638735979795456,0.01655663880077186,0.014795662835240364,0.020120583474636078,-4.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.014795662835240364,0.012001213617622852,0.019051004357511683,0.019051004357511683,0.09326862543821335,0.04633171856403351,4.176917913379842e-25,-3.93999981880188,0.0,0.0,0.0,0.0,1.0739124417304993,2.0,1.0739124417304993,2.0
0.3001062000000161,0.0,1.0,0.0,1.0,0.5,0.0,0.06298438459634781,0.06298438459634781,0.01731145940721035,0.01731145940721035,0.4370156154036522,-0.01731145940721035,0.01865716802706087,0.018129868432879448,0.021582186222076416,-4.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.018129868432879448,0.01346281636506319,0.02258184124186803,0.02258184124186803,0.10002614557743073,0.043848082423210144,4.072495162760572e-25,-3.93999981880188,0.0,0.0,0.0,0.0,0.6033516824245453,2.0,0.6033516824245453,2.0
