timestamp,step_index,sim_time,controller_name,target_distance,desired_altitude,current_y,repetition,pose_x,pose_y,pose_z,pose_forward_x,pose_forward_y,pose_forward_z,pose_right_x,pose_right_y,pose_right_z,dvl_vx,dvl_vy,dvl_vz,ping_altitude_raw,ping_altitude,altitude_error,abs_altitude_error,desired_forward_velocity,desired_lateral_velocity,vertical_command,horizontal_command_x,horizontal_command_y,forward_progress,lateral_drift,target_reached,collision,invalid_ping,unsafe_altitude
2026-05-15T11:52:23.007158+00:00,0,0.0,dvl_p_altitude_hold,5.0,1.5,0.0,1,-20.0,-0.0,-33.84400177001953,1.0,-0.0,0.0,-0.0,1.0,-0.0,-0.010184254497289658,0.0592522993683815,-0.020027190446853638,1.6367454528808594,1.6367454528808594,-0.13674545288085938,0.13674545288085938,0.3,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2026-05-15T11:52:23.040671+00:00,1,0.033422499999999467,dvl_p_altitude_hold,5.0,1.5,0.0,1,-19.99956512451172,-9.391563798999414e-05,-33.844032287597656,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.00936060305684805,0.024751052260398865,0.00021553919941652566,1.6367454528808594,1.6367454528808594,-0.13674545288085938,0.13674545288085938,0.3,0.0,-0.08204727172851563,1.644486203789711,-0.355513796210289,0.00043487548828125,-9.391563798999414e-05,False,False,False,False
2026-05-15T11:52:23.074045+00:00,2,0.06671859999999974,dvl_p_altitude_hold,5.0,1.5,0.0,1,-19.998655319213867,-0.00022392514802049845,-33.844093322753906,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.004902263637632132,-0.03445085883140564,-0.01875462755560875,1.6366393566131592,1.6366393566131592,-0.13663935661315918,0.13663935661315918,0.3,0.0,-0.08198361396789551,1.8514936864376068,-0.1485063135623932,0.0013446807861328125,-0.00022392514802049845,False,False,False,False
2026-05-15T11:52:23.106973+00:00,3,0.10005029999999948,dvl_p_altitude_hold,5.0,1.5,0.0,1,-19.997303009033203,-0.0002949779445771128,-33.844181060791016,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.002248047385364771,-0.030098946765065193,-0.009192769415676594,1.6364015340805054,1.6364015340805054,-0.13640153408050537,0.13640153408050537,0.3,0.0,-0.08184092044830323,1.7932948470115662,0.20670515298843384,0.002696990966796875,-0.0002949779445771128,False,False,False,False
2026-05-15T11:52:23.141083+00:00,4,0.1336820000000003,dvl_p_altitude_hold,5.0,1.5,0.0,1,-19.995515823364258,-0.0003159405314363539,-33.844295501708984,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.03571304306387901,0.043916255235672,-0.019158707931637764,1.6360119581222534,1.6360119581222534,-0.13601195812225342,0.13601195812225342,0.3,0.0,-0.08160717487335205,1.8194063194096088,0.18059368059039116,0.0044841766357421875,-0.0003159405314363539,False,False,False,False
2026-05-15T11:52:23.174192+00:00,5,0.16676109999999955,dvl_p_altitude_hold,5.0,1.5,0.0,1,-19.993330001831055,-0.0004058065533172339,-33.84444046020508,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.08011399954557419,-0.0368792787194252,-0.0031845374032855034,1.6354763507843018,1.6354763507843018,-0.13547635078430176,0.13547635078430176,0.3,0.0,-0.08128581047058105,1.736502468585968,-0.263497531414032,0.0066699981689453125,-0.0004058065533172339,False,False,False,False
2026-05-15T11:52:23.207433+00:00,6,0.2001824000000001,dvl_p_altitude_hold,5.0,1.5,0.0,1,-19.990747451782227,-0.0004341931489761919,-33.844608306884766,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.08127088099718094,0.021877670660614967,-0.008848226629197598,1.6348398923873901,1.6348398923873901,-0.13483989238739014,0.13483989238739014,0.3,0.0,-0.08090393543243408,1.7787243276834488,0.2212756723165512,0.009252548217773438,-0.0004341931489761919,False,False,False,False
2026-05-15T11:52:23.240528+00:00,7,0.23337809999999948,dvl_p_altitude_hold,5.0,1.5,0.0,1,-19.98775863647461,-0.0004962988314218819,-33.84479904174805,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.1188027411699295,-0.022400034591555595,0.0017540294211357832,1.6340653896331787,1.6340653896331787,-0.1340653896331787,0.1340653896331787,0.3,0.0,-0.08043923377990722,1.8687339760363102,-0.1312660239636898,0.012241363525390625,-0.0004962988314218819,False,False,False,False
2026-05-15T11:52:23.273954+00:00,8,0.26668670000000017,dvl_p_altitude_hold,5.0,1.5,0.0,1,-19.984376907348633,-0.0005208019865676761,-33.84501647949219,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.06678073108196259,0.02462187223136425,-0.01029837504029274,1.633179783821106,1.633179783821106,-0.13317978382110596,0.13317978382110596,0.3,0.0,-0.07990787029266357,1.8655997924506664,0.13440020754933357,0.015623092651367188,-0.0005208019865676761,False,False,False,False
2026-05-15T11:52:23.307790+00:00,9,0.30013809999999985,dvl_p_altitude_hold,5.0,1.5,0.0,1,-19.980621337890625,-0.0005835017655044794,-33.845252990722656,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.08416686207056046,-0.0369056835770607,-0.0009426912874914706,1.6321663856506348,1.6321663856506348,-0.13216638565063477,0.13216638565063477,0.3,0.0,-0.07929983139038085,1.8522687666118145,-0.1477312333881855,0.019378662109375,-0.0005835017655044794,False,False,False,False
