time,phase,lateral_command,dvl_lateral_velocity_raw,dvl_lateral_velocity_used,pose_x,pose_y,pose_z,cmd_0,cmd_1,cmd_2,cmd_3,cmd_4,cmd_5,cmd_6,cmd_7
0.03352019999999989,positive_lateral_command,0.5,-0.019442101940512657,-0.019442101940512657,0.0,0.00013208437303546816,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
0.06680299999999928,positive_lateral_command,0.5,-0.040642671287059784,-0.040642671287059784,0.0,0.0003918476577382535,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
0.10009329999999927,positive_lateral_command,0.5,0.02275099977850914,0.02275099977850914,0.0,0.0007750263903290033,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
0.13344809999999985,positive_lateral_command,0.5,0.004827572964131832,0.004827572964131832,0.0,0.0012774947099387646,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
0.16676859999999927,positive_lateral_command,0.5,0.026213958859443665,0.026213958859443665,0.0,0.0018952602986246347,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
0.2001349999999995,positive_lateral_command,0.5,0.0425080806016922,0.0425080806016922,0.0,0.002624460496008396,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
0.2333822999999997,positive_lateral_command,0.5,-0.010076597332954407,-0.010076597332954407,0.0,0.003461358370259404,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
0.26699009999999923,positive_lateral_command,0.5,0.0065314085222780704,0.0065314085222780704,0.0,0.004402338061481714,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
0.30010219999999954,positive_lateral_command,0.5,0.03914033621549606,0.03914033621549606,0.0,0.005443902686238289,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
0.33346129999999974,positive_lateral_command,0.5,0.07807164639234543,0.07807164639234543,0.0,0.006582669448107481,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
0.3668516999999998,positive_lateral_command,0.5,0.03242101892828941,0.03242101892828941,0.0,0.007815365679562092,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
0.4002479000000001,positive_lateral_command,0.5,0.0055382889695465565,0.0055382889695465565,0.0,0.009138827212154865,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
0.43352409999999963,positive_lateral_command,0.5,0.03500431030988693,0.03500431030988693,0.0,0.010549994185566902,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
0.4668732999999996,positive_lateral_command,0.5,0.10543771833181381,0.10543771833181381,0.0,0.012045904994010925,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
0.5001666,positive_lateral_command,0.5,0.11571519076824188,0.11571519076824188,0.0,0.01362369954586029,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
0.5335405999999994,positive_lateral_command,0.5,0.017769241705536842,0.017769241705536842,0.0,0.01528060995042324,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
0.5669125999999993,positive_lateral_command,0.5,0.04581277817487717,0.04581277817487717,0.0,0.01701395958662033,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
0.6001979999999998,positive_lateral_command,0.5,0.09348291158676147,0.09348291158676147,0.0,0.01882116310298443,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
0.6335302999999994,positive_lateral_command,0.5,0.04264542832970619,0.04264542832970619,0.0,0.020699717104434967,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
0.6669025999999993,positive_lateral_command,0.5,0.09107104688882828,0.09107104688882828,0.0,0.022647205740213394,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
0.7001685999999996,positive_lateral_command,0.5,0.04300764203071594,0.04300764203071594,0.0,0.024661289528012276,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
0.7335059999999993,positive_lateral_command,0.5,0.05300965532660484,0.05300965532660484,0.0,0.026739710941910744,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
0.7668684999999993,positive_lateral_command,0.5,0.036328256130218506,0.036328256130218506,0.0,0.0288802832365036,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
0.8002946,positive_lateral_command,0.5,0.10570123046636581,0.10570123046636581,0.0,0.03108089603483677,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
0.8336011999999995,positive_lateral_command,0.5,0.0655105710029602,0.0655105710029602,0.0,0.03333950787782669,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
0.8669604999999994,positive_lateral_command,0.5,0.030383655801415443,0.030383655801415443,0.0,0.03565414994955063,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
0.9002302999999996,positive_lateral_command,0.5,0.10363542288541794,0.10363542288541794,0.0,0.03802291303873062,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
0.9337008999999998,positive_lateral_command,0.5,0.03817864507436752,0.03817864507436752,0.0,0.04044395312666893,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
0.9669669000000001,positive_lateral_command,0.5,0.09347700327634811,0.09347700327634811,0.0,0.04291549324989319,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
1.0003740999999993,positive_lateral_command,0.5,0.07352288067340851,0.07352288067340851,0.0,0.04543581232428551,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
1.0336374,positive_lateral_command,0.5,0.06919547915458679,0.06919547915458679,0.0,0.04800324887037277,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
1.0670387999999997,positive_lateral_command,0.5,0.05374022573232651,0.05374022573232651,0.0,0.05061618983745575,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
1.1002352999999996,positive_lateral_command,0.5,0.09396279603242874,0.09396279603242874,0.0,0.05327308923006058,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
1.1337025999999994,positive_lateral_command,0.5,0.1055746078491211,0.1055746078491211,0.0,0.055972445756196976,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
1.1669837999999997,positive_lateral_command,0.5,0.13018326461315155,0.13018326461315155,0.0,0.058712806552648544,-4.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5
