run_id,mode,target_distance,repetition_index,current_x,current_y,current_z,current_magnitude,forward_command,desired_forward_velocity,desired_lateral_velocity,dvl_estimated_distance,pose_forward_displacement,pose_euclidean_displacement,absolute_error,percentage_error,lateral_drift,final_position_error,duration,sample_count,stop_reason,mean_forward_velocity_error,std_forward_velocity_error,mean_lateral_velocity_error,std_lateral_velocity_error,mean_abs_lateral_velocity_error,max_abs_lateral_velocity_error,mean_command_effort,max_command_effort,mean_dt,std_dt,dt_source
target_5m_current_y_0p5_rep_01,no_compensation,5.0,1,0.0,0.5,0.0,0.5,2.0,0.3,0.0,5.011500728514849,5.008171558380127,5.032809676576088,0.0033291701347222258,0.06647476221439652,0.49738403921946883,0.49745116025257585,12.403361900000002,373,target_reached,,,,,,,,,0.033342370698924734,9.355237522517923e-05,wall_clock
target_5m_current_y_0p5_rep_01,dvl_velocity_compensation,5.0,1,0.0,0.5,0.0,0.5,2.0,0.3,0.0,5.003758736561871,4.9965410232543945,5.00174827386666,0.007217713307476892,0.14445419889249267,0.2281744903884828,0.22820070680033064,21.206556600000003,637,target_reached,0.06404566848181985,0.04395324452867503,-0.011770330469576982,0.03847878221237569,0.03222985168072199,0.1286047250032425,2.520847482941878,3.998140007449049,0.03334364245283019,0.00010862935448994344,wall_clock
target_5m_current_y_0p5_rep_02,no_compensation,5.0,2,0.0,0.5,0.0,0.5,2.0,0.3,0.0,5.008448557285819,4.993697166442871,5.0182631697020765,0.014751390842947742,0.2954001885031308,0.49593734508380294,0.4959773946054597,12.370071699999997,372,target_reached,,,,,,,,,0.033342511320754706,0.00011392208777118394,wall_clock
target_5m_current_y_0p5_rep_02,dvl_velocity_compensation,5.0,2,0.0,0.5,0.0,0.5,2.0,0.3,0.0,5.001039840757533,5.002562046051025,5.007028194836472,0.0015222052934920072,0.03042851401900395,0.21143395965918899,0.21144948185590604,21.21218110000001,637,target_reached,0.06424637054673062,0.044728177780785826,-0.013495478110837738,0.03588801906862306,0.03078445808658748,0.12686605751514435,2.4841860269218308,3.990299513708971,0.033352486006289324,0.00018337069753121432,wall_clock
target_5m_current_y_0p5_rep_03,no_compensation,5.0,3,0.0,0.5,0.0,0.5,2.0,0.3,0.0,5.004847866792012,5.008171558380127,5.032809676576088,0.003323691588114741,0.06636537006311692,0.49738403921946883,0.49745116025257585,12.403772899999993,373,target_reached,,,,,,,,,0.033343475537634386,9.982223941724756e-05,wall_clock
target_5m_current_y_0p5_rep_03,dvl_velocity_compensation,5.0,3,0.0,0.5,0.0,0.5,2.0,0.3,0.0,5.00394463128904,4.9388322830200195,4.9450705851613135,0.06511234826902079,1.3183753676528087,0.24831184512004256,0.25573474935460566,21.105972599999987,634,target_reached,0.06291210470665218,0.04303720052651225,-0.01199845213980841,0.036810316424486574,0.031067821554814138,0.1195816621184349,2.4730024116189337,3.9916203871020306,0.033342768720379126,8.18708770365092e-05,wall_clock
target_5m_current_y_1_rep_01,no_compensation,5.0,1,0.0,1.0,0.0,1.0,2.0,0.3,0.0,5.011185853156216,5.020425796508789,5.259779638504351,0.009239943352572944,0.18404700571410523,1.5686321007087827,1.5687650813735838,12.936777699999993,389,target_reached,,,,,,,,,0.03334221056701029,8.294264361943213e-05,wall_clock
target_5m_current_y_1_rep_01,dvl_velocity_compensation,5.0,1,0.0,1.0,0.0,1.0,2.0,0.3,0.0,5.001933489735722,4.990063190460205,5.073198117767241,0.011870299275517304,0.23787873665027826,0.9146630512550473,0.9147170259238775,21.7402989,653,target_reached,0.06993305247528421,0.04388723941936605,-0.04453544420331696,0.03795482665366148,0.04984236050126424,0.15539945662021637,2.679727708032629,3.9966392247155658,0.03334401671779141,0.00010788973699794787,wall_clock
target_5m_current_y_1_rep_02,no_compensation,5.0,2,0.0,1.0,0.0,1.0,2.0,0.3,0.0,5.0027033412484005,5.020425796508789,5.259779638504351,0.017722455260388514,0.3530070153155681,1.5686321007087827,1.5687650813735838,12.936767600000024,389,target_reached,,,,,,,,,0.033342184536082536,8.406745124564578e-05,wall_clock
target_5m_current_y_1_rep_02,dvl_velocity_compensation,5.0,2,0.0,1.0,0.0,1.0,2.0,0.3,0.0,5.005454704771577,4.931003570556641,5.025359577513096,0.07445113421493676,1.509857641545619,0.9692485081031919,0.9717011771816455,21.672656200000006,651,target_reached,0.06904520424512717,0.045324709028699804,-0.04209012746351968,0.03753759309209747,0.04667803660579151,0.1464141309261322,2.659556756015897,3.9901051761629485,0.03334254800000001,8.710719552039986e-05,wall_clock
target_5m_current_y_1_rep_03,no_compensation,5.0,3,0.0,1.0,0.0,1.0,2.0,0.3,0.0,5.003234854860291,5.006592273712158,5.2453107982715785,0.0033574188518672443,0.0670599615130607,1.5643909918144345,1.5644048815261495,12.904555899999991,388,target_reached,,,,,,,,,0.033345105684754496,0.00016209478794144004,wall_clock
target_5m_current_y_1_rep_03,dvl_velocity_compensation,5.0,3,0.0,1.0,0.0,1.0,2.0,0.3,0.0,5.003833765938225,4.984073638916016,5.068757974426046,0.019760127022209417,0.3964653906379088,0.9226686106994748,0.9228060544596988,21.605852200000015,649,target_reached,0.06840863601638027,0.04334493740924258,-0.04248120189794587,0.036702058894834834,0.04729019830568929,0.15572331845760345,2.679742662056007,3.994232755755227,0.03334236450617286,0.00010528757271794696,wall_clock
target_5m_current_y_2_rep_01,no_compensation,5.0,1,0.0,2.0,0.0,2.0,2.0,0.3,0.0,5.004485070828392,5.025207996368408,7.375490922386054,0.020722925540016313,0.41237945882025684,5.398624911904335,5.398683763892362,13.970929600000034,420,target_reached,,,,,,,,,0.0333435073985681,7.678097242027642e-05,wall_clock
target_5m_current_y_2_rep_01,dvl_velocity_compensation,5.0,1,0.0,2.0,0.0,2.0,2.0,0.3,0.0,5.0012945947089245,4.975881576538086,8.165539615862274,0.02541301817083852,0.5107239346423381,6.474306121468544,6.474351044918351,28.742719499999964,863,target_reached,0.12599732426228544,0.041460685267942436,-0.22402929698750204,0.03876747867275612,0.22402929698750204,0.3241864740848541,2.8589741370387247,3.8374314059933265,0.03334422215777258,0.00010260228808635576,wall_clock
target_5m_current_y_2_rep_02,no_compensation,5.0,2,0.0,2.0,0.0,2.0,2.0,0.3,0.0,5.009235022464836,4.987119197845459,7.320410270906979,0.022115824619376667,0.44345891369372464,5.358829036355019,5.358844516866094,13.871395500000006,417,target_reached,,,,,,,,,0.03334470072115386,0.00015762052355559354,wall_clock
target_5m_current_y_2_rep_02,dvl_velocity_compensation,5.0,2,0.0,2.0,0.0,2.0,2.0,0.3,0.0,5.000910395580792,4.987936973571777,8.188974227648703,0.012973422009014968,0.26009594904173217,6.494596496224403,6.494607699112927,28.890203799999995,867,target_reached,0.1269008124627896,0.04216070233215488,-0.22875213055219717,0.03812224998800628,0.22875213055219717,0.3543769419193268,2.8579702097633897,3.878785170856931,0.033360512471131636,0.00040394112538429995,wall_clock
target_5m_current_y_2_rep_03,no_compensation,5.0,3,0.0,2.0,0.0,2.0,2.0,0.3,0.0,5.005775414161914,4.987119197845459,7.320410270906979,0.01865621631645542,0.3740880371280338,5.358829036355019,5.358844516866094,13.87035609999998,417,target_reached,,,,,,,,,0.033342202163461496,0.00011738218631277823,wall_clock
target_5m_current_y_2_rep_03,dvl_velocity_compensation,5.0,3,0.0,2.0,0.0,2.0,2.0,0.3,0.0,5.004752306275756,5.062716007232666,8.305087296352973,0.05796370095691028,1.1449131429474324,6.583569064736366,6.583867778723755,29.209646399999997,877,target_reached,0.12865216232491788,0.04242358100168441,-0.22659641902332436,0.037979105148521146,0.22659641902332436,0.34619754552841187,2.8558347508453985,3.585795316841164,0.03334434520547945,0.00011121837865769545,wall_clock
target_10m_current_y_0p5_rep_01,no_compensation,10.0,1,0.0,0.5,0.0,0.5,2.0,0.3,0.0,10.00683916523691,10.016282081604004,10.065872562754093,0.009442916367094156,0.09427566326668359,0.9979397333227098,0.9980725512334064,23.940107299999966,719,target_reached,,,,,,,,,0.033342767827298,0.00011163152046154439,wall_clock
target_10m_current_y_0p5_rep_01,dvl_velocity_compensation,10.0,1,0.0,0.5,0.0,0.5,2.0,0.3,0.0,10.00166009118831,10.031607627868652,10.043914928233564,0.02994753668034278,0.2985317786667213,0.497066882904619,0.4980708064321753,42.0125443,1261,target_reached,0.061939409937680004,0.041425944854420485,-0.011533145538097804,0.036586452575143306,0.03045890571596944,0.11801539361476898,2.4765362507591795,3.999604149856697,0.03334328912698413,9.029495749942792e-05,wall_clock
target_10m_current_y_0p5_rep_02,no_compensation,10.0,2,0.0,0.5,0.0,0.5,2.0,0.3,0.0,10.01102251367755,9.987333297729492,10.036779544691433,0.023689215948058617,0.2371926042905176,0.995046345051378,0.995126963832513,23.875739000000067,717,target_reached,,,,,,,,,0.033346004189944226,0.0001384268419407832,wall_clock
target_10m_current_y_0p5_rep_02,dvl_velocity_compensation,10.0,2,0.0,0.5,0.0,0.5,2.0,0.3,0.0,10.000190887365438,9.959108352661133,9.971566405983706,0.04108253470430512,0.41251217729072726,0.4982945001684129,0.49996953479204587,41.95172790000004,1259,target_reached,0.06162673097654633,0.04058167590522417,-0.011582924907107252,0.03773587313701846,0.03176842361525871,0.14438436925411224,2.4724828167155732,3.999716132104857,0.03334795540540544,0.00015370481767667423,wall_clock
target_10m_current_y_0p5_rep_03,no_compensation,10.0,3,0.0,0.5,0.0,0.5,2.0,0.3,0.0,10.00665092457863,10.016282081604004,10.065872562754093,0.009631157025374648,0.09615500988199324,0.9979397333227098,0.9980725512334064,23.940403700000047,719,target_reached,,,,,,,,,0.03334318064066859,8.900758004420358e-05,wall_clock
target_10m_current_y_0p5_rep_03,dvl_velocity_compensation,10.0,3,0.0,0.5,0.0,0.5,2.0,0.3,0.0,10.011539161606128,10.027731895446777,10.03894350399143,0.0161927338406489,0.16147952507586905,0.47432026034221053,0.475130263607964,42.135195899999985,1263,target_reached,0.06242468272898163,0.041912397570785236,-0.011934587546973997,0.03728729208277906,0.03144774861342301,0.14783541858196259,2.4710312364083964,3.9959059660363314,0.033387635419968295,0.0009647033169196267,wall_clock
target_10m_current_y_1_rep_01,no_compensation,10.0,1,0.0,1.0,0.0,1.0,2.0,0.3,0.0,10.002130228114076,10.028130531311035,10.497513051189163,0.026000303196958896,0.259273681328515,3.103929494507611,3.1040569636632176,25.006730399999924,751,target_reached,,,,,,,,,0.0333423071999999,8.46171717896948e-05,wall_clock
target_10m_current_y_1_rep_01,dvl_velocity_compensation,10.0,1,0.0,1.0,0.0,1.0,2.0,0.3,0.0,10.006649780879624,9.923368453979492,10.099527885857388,0.08328132690013135,0.8392445295804135,1.8780899988487363,1.8796527438921105,42.914806,1288,target_reached,0.0668291553131304,0.041303156000779974,-0.04171646460027322,0.037838145432509865,0.04653233349209899,0.16484160721302032,2.6537255266495836,3.9994624625934887,0.0333448376068376,0.00011466360935284388,wall_clock
