run_id,mode,target_distance,repetition_index,current_x,current_y,current_z,current_magnitude,max_duration_s,forward_command,desired_forward_velocity,desired_lateral_velocity,dvl_estimated_distance,pose_forward_displacement,pose_euclidean_displacement,absolute_error,percentage_error,lateral_drift,final_position_error,duration,sample_count,stop_reason,target_reached,mean_forward_velocity_error,std_forward_velocity_error,mean_lateral_velocity_error,std_lateral_velocity_error,mean_abs_lateral_velocity_error,max_abs_lateral_velocity_error,mean_surge_velocity_error,mean_abs_surge_velocity_error,mean_sway_velocity_error,mean_abs_sway_velocity_error,mean_command_effort,max_command_effort,saturation_fraction,surge_saturation_fraction,sway_saturation_fraction,mean_dt,std_dt,dt_source
target_10m_current_y_0p5_rep_01,no_compensation,10.0,1,0.0,0.5,0.0,0.5,120.0,2.0,0.5,0.0,10.009769127532532,10.045230865478516,10.094965580825024,0.035461737945983174,0.35302063656745947,1.0008331215940416,1.0018546643458865,24.006532099999998,721,target_reached,True,,,,,,,,,,,,,,,,0.033342405694444445,0.0001271339365189229,wall_clock
target_10m_current_y_0p5_rep_01,dvl_velocity_compensation,10.0,1,0.0,0.5,0.0,0.5,120.0,2.0,0.5,0.0,10.00744787705174,9.975176811218262,9.98680272421258,0.03227106583347883,0.32351372255563643,0.4817429161630571,0.4823820352942054,27.373974099999998,822,target_reached,True,0.13441753957588476,0.05500302149993664,-0.016460812679246203,0.037447448755324624,0.032395222614254565,0.1430935263633728,,,,,3.5158357977110306,3.9989322591334773,,,,0.033342233982947625,0.0001421231219929177,wall_clock
target_10m_current_y_0p5_rep_01,dvl_pi_velocity_compensation,10.0,1,0.0,0.5,0.0,0.5,120.0,2.0,0.5,0.0,10.000070193235423,9.97546672821045,9.977091775492314,0.024603465024974014,0.24663973822293284,0.1800662404857576,0.18172983350945615,36.41071550000001,1093,target_reached,True,0.22535286022835468,0.0447512712683491,-0.004555273626541975,0.03822281068196201,0.03053753447164413,0.14010502398014069,0.22535286022835468,0.22535286022835468,-0.004555273626541975,0.03053753447164413,0.6569238368263658,1.0303782006124151,0.0009157509157509158,0.0009157509157509158,0.0,0.03334314606227107,9.136495014258102e-05,wall_clock
target_10m_current_y_0p5_rep_02,no_compensation,10.0,2,0.0,0.5,0.0,0.5,120.0,2.0,0.5,0.0,10.013165237136874,10.030755996704102,10.080418594345934,0.01759075956722711,0.17536823319206518,0.9993863976560533,0.9998595417123376,23.974236899999994,720,target_reached,True,,,,,,,,,,,,,,,,0.033343862169680105,9.559569673171331e-05,wall_clock
target_10m_current_y_0p5_rep_02,dvl_velocity_compensation,10.0,2,0.0,0.5,0.0,0.5,120.0,2.0,0.5,0.0,10.0055998184081,9.972736358642578,9.9838969876576,0.03286345976552241,0.3295330246752413,0.47194128995761275,0.47272813255286766,27.4817587,825,target_reached,True,0.13592517192507145,0.05945947354713263,-0.017088301542871793,0.03788580524591459,0.03312168003734221,0.1391068696975708,,,,,3.502433314034861,3.998111385853361,,,,0.03335164890776699,0.00028242811551918074,wall_clock
target_10m_current_y_0p5_rep_02,dvl_pi_velocity_compensation,10.0,2,0.0,0.5,0.0,0.5,120.0,2.0,0.5,0.0,10.00342591360139,10.011570930480957,10.012896251955855,0.008145016879566924,0.08135603229627857,0.16290750866755843,0.16331791944690505,36.47906230000001,1095,target_reached,True,0.2257819892208635,0.045697105900101086,-0.005080597026189968,0.037057887607080384,0.030180759207783753,0.13045428693294525,0.2257819892208635,0.2257819892208635,-0.005080597026189968,0.030180759207783753,0.6571281976632435,1.0060045900229448,0.0018281535648994515,0.0018281535648994515,0.0,0.033344663893967105,0.00018295682406880233,wall_clock
target_10m_current_y_0p5_rep_03,no_compensation,10.0,3,0.0,0.5,0.0,0.5,120.0,2.0,0.5,0.0,10.010621272046492,9.987333297729492,10.036779544691433,0.02328797431700025,0.23317509912575468,0.995046345051378,0.995126963832513,23.873632600000008,717,target_reached,True,,,,,,,,,,,,,,,,0.0333430622905028,0.00011003603181983175,wall_clock
target_10m_current_y_0p5_rep_03,dvl_velocity_compensation,10.0,3,0.0,0.5,0.0,0.5,120.0,2.0,0.5,0.0,10.011610647452558,9.99172306060791,10.002195157776713,0.019887586844648197,0.19904061315564733,0.45757868653163314,0.4576535393654406,27.40761249999997,823,target_reached,True,0.1347162797163329,0.05701999381718956,-0.017032000466895143,0.03754187697030134,0.03280734547544207,0.14973579347133636,,,,,3.5161525379385314,3.9997692049525693,,,,0.03334259428223841,8.672562478266616e-05,wall_clock
target_10m_current_y_0p5_rep_03,dvl_pi_velocity_compensation,10.0,3,0.0,0.5,0.0,0.5,120.0,2.0,0.5,0.0,10.001935850012364,10.036890983581543,10.038392069786887,0.0349551335691789,0.34826654614819363,0.1735935783945024,0.17747020913218625,36.54512870000002,1097,target_reached,True,0.2263068209587508,0.043881228379774984,-0.004721315369543633,0.03905126336418991,0.03149360151226916,0.1232740730047226,0.2263068209587508,0.2263068209587508,-0.004721315369543633,0.03149360151226916,0.658881131783646,1.0008806180073293,0.0018248175182481751,0.0018248175182481751,0.0,0.0333440955291971,0.00013440338574127785,wall_clock
target_10m_current_y_1_rep_01,no_compensation,10.0,1,0.0,1.0,0.0,1.0,120.0,2.0,0.5,0.0,10.013577940824513,10.028130531311035,10.497513051189163,0.014552590486522021,0.14511768111797282,3.103929494507611,3.1040569636632176,25.00701079999999,751,target_reached,True,,,,,,,,,,,,,,,,0.03334268106666665,0.00010213700270362048,wall_clock
