run_id,target_distance,repetition_index,forward_command,dvl_estimated_distance,pose_ground_truth_displacement,absolute_error,percentage_error,lateral_drift,duration,sample_count,stop_reason,dvl_forward_index,dvl_forward_sign,dt_source,mean_dt,std_dt
target_2p0m_rep_01,2.0,1,2.0,2.0034922285851695,2.001709222793579,0.0017830057915904085,0.08907416578228336,0.0,5.3684899,162,target_reached,0,1.0,wall_clock,0.033344657763975154,0.00032613843869977525
target_2p0m_rep_02,2.0,2,2.0,2.004903426210759,2.0165302753448486,0.011626849134089845,0.5765769686796062,0.0,5.4023906,163,target_reached,0,1.0,wall_clock,0.03334809012345679,0.0004414148861945541
target_2p0m_rep_03,2.0,3,2.0,2.0006493858561916,2.0165302753448486,0.01588088948865707,0.7875353860452833,0.0,5.404406400000003,163,target_reached,0,1.0,wall_clock,0.03336053333333335,0.0003704957522954181
target_5p0m_rep_01,5.0,1,2.0,5.004266042602786,4.926720142364502,0.07754590023828367,1.5739863032095576,0.0,11.944388399999994,359,target_reached,0,1.0,wall_clock,0.03336421340782121,0.0004975031493556113
target_5p0m_rep_02,5.0,2,2.0,5.009265709461929,5.030683517456055,0.021417807994125404,0.42574349827031227,0.0,12.171853399999996,366,target_reached,0,1.0,wall_clock,0.03334754356164382,0.0003386130233903651
target_5p0m_rep_03,5.0,3,2.0,5.009014524879405,5.015831470489502,0.006816945610096603,0.13590858564933658,0.0,12.139288399999998,365,target_reached,0,1.0,wall_clock,0.033349693406593404,0.0005083994331605434
target_10p0m_rep_01,10.0,1,2.0,10.000918223385396,9.976363182067871,0.02455504131752484,0.24613219135467704,0.0,23.2784465,699,target_reached,0,1.0,wall_clock,0.03335020988538682,0.0004065482518608694
target_10p0m_rep_02,10.0,2,2.0,10.014471393970057,9.991214752197266,0.023256641772791298,0.23277091274288447,0.0,23.312386800000013,700,target_reached,0,1.0,wall_clock,0.03335105407725324,0.0003105621017608125
target_10p0m_rep_03,10.0,3,2.0,10.010063286560262,9.976363182067871,0.03370010449239125,0.337799495441043,0.0,23.315302400000007,699,target_reached,0,1.0,wall_clock,0.033403012034383964,0.002623490343662911
target_20p0m_rep_01,20.0,1,2.0,20.006687430245965,19.9271297454834,0.07955768476256608,0.3992430710228015,0.0,45.6323361,1369,target_reached,0,1.0,wall_clock,0.03335697083333333,0.0004674140034005339
target_20p0m_rep_02,20.0,2,2.0,20.00487747868154,19.9716854095459,0.03319206913564088,0.16619563374343965,0.0,45.725697000000025,1372,target_reached,0,1.0,wall_clock,0.03335207658643328,0.00043302801059029103
target_20p0m_rep_03,20.0,3,2.0,20.009410518910737,20.04594612121582,0.036535602305082904,0.18225930611683674,0.0,45.89969589999998,1377,target_reached,0,1.0,wall_clock,0.0333573371366279,0.00047823040637187214
