timestamp,step_index,sim_time,controller_name,target_distance,desired_altitude,current_y,repetition,pose_x,pose_y,pose_z,pose_forward_x,pose_forward_y,pose_forward_z,pose_right_x,pose_right_y,pose_right_z,dvl_vx,dvl_vy,dvl_vz,ping_altitude_raw,ping_altitude,estimated_seabed_z_from_pose_ping,altitude_error,abs_altitude_error,desired_forward_velocity,desired_lateral_velocity,vertical_command,horizontal_command_x,horizontal_command_y,forward_progress,lateral_drift,target_reached,collision,invalid_ping,unsafe_altitude
2026-05-15T13:38:38.678327+00:00,0,0.0,dvl_p_altitude_hold,20.0,3.0,0.0,0,296.6000061035156,-321.70001220703125,-293.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.01913774199783802,-0.022206565365195274,-0.006199982482939959,17.565425872802734,17.565425872802734,-310.56542587280273,-14.565425872802734,14.565425872802734,0.15,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2026-05-15T13:38:38.711722+00:00,1,0.033437300000001,dvl_p_altitude_hold,20.0,3.0,0.0,0,296.6004943847656,-321.6999816894531,-293.00030517578125,1.0,-0.0,0.0,-0.0,1.0,-0.0,-0.025555500760674477,0.008801640011370182,-0.018056444823741913,17.565425872802734,17.565425872802734,-310.565731048584,-14.565425872802734,14.565425872802734,0.15,0.0,-0.8,1.8667606078088284,0.13323939219117165,0.00048828125,3.0517578125e-05,False,False,False,False
2026-05-15T13:38:38.745146+00:00,2,0.06670339999999975,dvl_p_altitude_hold,20.0,3.0,0.0,0,296.6014709472656,-321.699951171875,-293.0008850097656,1.0,-0.0,0.0,-0.0,1.0,-0.0,-0.006964602041989565,0.015928074717521667,-0.012928532436490059,17.565475463867188,17.565475463867188,-310.5663604736328,-14.565475463867188,14.565475463867188,0.15,0.0,-0.8,1.947190159931779,-0.05280984006822109,0.00146484375,6.103515625e-05,False,False,False,False
2026-05-15T13:38:38.778282+00:00,3,0.10003540000000122,dvl_p_altitude_hold,20.0,3.0,0.0,0,296.6029357910156,-321.699951171875,-293.0017395019531,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.07861270755529404,0.03233269602060318,-0.019396711140871048,17.56559181213379,17.56559181213379,-310.5673313140869,-14.565591812133789,14.565591812133789,0.15,0.0,-0.8,1.90443155169487,-0.09556844830513,0.0029296875,6.103515625e-05,False,False,False,False
2026-05-15T13:38:38.812306+00:00,4,0.13335320000000017,dvl_p_altitude_hold,20.0,3.0,0.0,0,296.604736328125,-321.7000732421875,-293.00286865234375,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.07415209710597992,0.03268507868051529,-0.03738059103488922,17.565763473510742,17.565763473510742,-310.5686321258545,-14.565763473510742,14.565763473510742,0.15,0.0,-0.8,1.4277458488941193,-0.38799235224723816,0.004730224609375,-6.103515625e-05,False,False,False,False
2026-05-15T13:38:38.845741+00:00,5,0.16667409999999983,dvl_p_altitude_hold,20.0,3.0,0.0,0,296.60687255859375,-321.7002868652344,-293.0042724609375,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.062285665422677994,-0.017221475020051003,-0.05328395590186119,17.565902709960938,17.565902709960938,-310.57017517089844,-14.565902709960938,14.565902709960938,0.15,0.0,-0.8,1.5169580578804016,-0.39222094416618347,0.006866455078125,-0.000274658203125,False,False,False,False
2026-05-15T13:38:38.878442+00:00,6,0.2000428000000003,dvl_p_altitude_hold,20.0,3.0,0.0,0,296.609375,-321.7004089355469,-293.00592041015625,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.0807478204369545,0.06644713878631592,-0.06266289204359055,17.56603240966797,17.56603240966797,-310.5719528198242,-14.566032409667969,14.566032409667969,0.15,0.0,-0.8,1.7542866915464401,0.20665770024061203,0.009368896484375,-0.000396728515625,False,False,False,False
2026-05-15T13:38:38.912562+00:00,7,0.2334177999999998,dvl_p_altitude_hold,20.0,3.0,0.0,0,296.6121520996094,-321.70074462890625,-293.0078125,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.05114581063389778,0.014460082165896893,-0.04269324988126755,17.566181182861328,17.566181182861328,-310.5739936828613,-14.566181182861328,14.566181182861328,0.15,0.0,-0.8,1.2938389629125595,-0.7061610370874405,0.01214599609375,-0.000732421875,False,False,False,False
2026-05-15T13:38:38.945691+00:00,8,0.26668369999999975,dvl_p_altitude_hold,20.0,3.0,0.0,0,296.6153564453125,-321.7010803222656,-293.00994873046875,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.07795467972755432,-0.03521907329559326,-0.07235768437385559,17.566282272338867,17.566282272338867,-310.5762310028076,-14.566282272338867,14.566282272338867,0.15,0.0,-0.8,1.9017814006656408,-0.09821859933435917,0.015350341796875,-0.001068115234375,False,False,False,False
2026-05-15T13:38:38.978369+00:00,9,0.30007439999999974,dvl_p_altitude_hold,20.0,3.0,0.0,0,296.6188049316406,-321.7012939453125,-293.0122985839844,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.1147032082080841,-0.04327346011996269,-0.0667983666062355,17.566438674926758,17.566438674926758,-310.57873725891113,-14.566438674926758,14.566438674926758,0.15,0.0,-0.8,1.4409064054489136,0.42262887954711914,0.018798828125,-0.00128173828125,False,False,False,False
