target_distance,desired_altitude,current_y,controller_name,number_of_runs,target_reached_rate,timeout_rate,collision_rate,unsafe_altitude_rate,invalid_ping_failure_rate,final_lateral_drift_mean,final_lateral_drift_std,mean_abs_altitude_error_mean,mean_abs_altitude_error_std,rmse_altitude_error_mean,rmse_altitude_error_std,max_abs_altitude_error_mean,max_abs_altitude_error_std,time_inside_altitude_band_percent_mean,time_inside_altitude_band_percent_std,runtime_seconds_mean,runtime_seconds_std,vertical_saturation_percent_mean,vertical_saturation_percent_std
5.0,1.5,0.0,dvl_p_altitude_hold,3,1.0,0.0,0.0,0.0,0.0,0.012886671659847101,0.0041652733417695,0.16404566963461378,0.0006399752469848029,0.17332110477022158,0.0007138571517265898,0.22382009029388428,0.002956797452557906,69.78505255995383,1.6070610317336773,20.97258233333333,0.07207896809686458,0.0,0.0
5.0,1.5,0.5,dvl_p_altitude_hold,3,1.0,0.0,0.0,0.0,0.0,0.25180572535221774,0.01564538149876808,0.17499412806481376,0.00018457626915884947,0.18519269002640096,0.0003267343760795165,0.23758081595102945,0.0011228022554371732,57.15086355023035,0.9369963181605261,21.184031433333335,0.04116522472706079,0.0,0.0
5.0,1.5,1.0,dvl_p_altitude_hold,3,1.0,0.0,0.0,0.0,0.0,0.9424357758834958,0.01057501556024515,0.20178305001422359,0.0005226683558578042,0.21378042082969528,0.0005140811667084787,0.2680169343948364,0.0005169293450167163,29.709532751526723,0.29382450658601306,21.73936176666666,0.05418434147022839,0.0,0.0
10.0,1.5,0.0,dvl_p_altitude_hold,3,1.0,0.0,0.0,0.0,0.0,0.0198505495985349,0.037908533867663116,0.12477714692068366,0.0005859072317950313,0.14028113276969575,0.0007259527152014204,0.22184006373087564,0.0022679954501971886,84.7538120674387,0.8294226117237975,41.58992119999999,0.06837623266374031,0.0,0.0
10.0,1.5,0.5,dvl_p_altitude_hold,3,1.0,0.0,0.0,0.0,0.0,0.4685200330180426,0.009493678856013543,0.1350109436600693,0.00025202302651973436,0.15105839355051665,0.0004803366604531321,0.23679769039154053,0.001922689305067204,78.83732504200752,0.5215601040131556,42.034255166666675,0.01589617208793227,0.0,0.0
10.0,1.5,1.0,dvl_p_altitude_hold,3,1.0,0.0,0.0,0.0,0.0,1.8568165845548112,0.05278453722482908,0.15719466080738695,0.0007617814507425875,0.17768493063673488,0.0007729282452677414,0.26596879959106445,0.002659400158693006,58.11595010720193,0.203239784278268,43.03815176666668,0.03686276710290721,0.0,0.0
20.0,1.5,0.0,dvl_p_altitude_hold,3,1.0,0.0,0.0,0.0,0.0,0.009005761205723198,0.04802542964447004,0.13793839881882672,0.0005406307873799903,0.15246291896288486,0.0007554376818513118,0.23869375387827554,0.002147497542043157,77.07760661428486,0.8651683765114019,82.73463133333333,0.040950439306141104,0.0,0.0
20.0,1.5,0.5,dvl_p_altitude_hold,3,1.0,0.0,0.0,0.0,0.0,0.9727899508240322,0.01274107664811173,0.1482123547737857,0.00021280799840003823,0.1635785552073049,0.00040390958728559823,0.26438653469085693,0.0009584136463465714,72.48799928073976,0.3578052785006456,83.72544696666667,0.16753152950129233,0.0,0.0
20.0,1.5,1.0,dvl_p_altitude_hold,3,1.0,0.0,0.0,0.0,0.0,3.660831187851727,0.01928065648864261,0.15244463586576595,0.0010469715037995945,0.1676120483408268,0.0010223702977352656,0.26701239744822186,0.0007151406403053966,69.90806648049482,1.0453238020091746,85.59055690000007,0.08529574507398793,0.0,0.0
